stratum,metric,mean_difference_synthetic_minus_replay,sd_difference,ci95_low_seed_t,ci95_high_seed_t,synthetic_wins,exact_sign_flip_p_two_sided,differences_by_seed
offline_crop,macro_f1,-0.008392998440127161,0.011442124396626492,-0.03681681115632552,0.020030814276071195,1,0.5,"{""42"": -0.018839652738803947, ""43"": 0.003835524722231032, ""44"": -0.010174867303808566}"
offline_crop,balanced_accuracy,-0.0008265581029266814,0.010765202474351502,-0.027568803544091216,0.02591568733823785,1,0.75,"{""42"": -0.0014701160729199136, ""43"": 0.010245986397521722, ""44"": -0.011255544633381853}"
offline_crop,mcc,-0.015427680897499648,0.021441121970554436,-0.06869038056679247,0.037835018771793176,1,0.5,"{""42"": -0.03523392083432009, ""43"": -0.01838948829110809, ""44"": 0.007340366432929235}"
offline_crop,ece,0.0334590607578125,0.048776199874427884,-0.0877077367861255,0.15462585830175052,2,0.5,"{""42"": -0.011559779492187477, ""43"": 0.02665814667968755, ""44"": 0.08527881508593742}"
offline_crop,worst_class_recall,0.0,0.0625,-0.15525860698439564,0.15525860698439564,1,1.0,"{""42"": -0.0625, ""43"": 0.0625, ""44"": 0.0}"
offline_crop,auroc_ovr_macro,-0.0044611930817965995,0.00381003791030676,-0.013925851937988044,0.0050034657743948455,0,0.25,"{""42"": -0.005259179258069624, ""43"": -0.007809038984707417, ""44"": -0.00031536100261275735}"
offline_crop,auprc_ovr_macro,-0.00637039863108239,0.004641833302261495,-0.01790135178888874,0.005160554526723958,0,0.25,"{""42"": -0.002172500553543122, ""43"": -0.00558319881646141, ""44"": -0.011355496523242636}"
offline_crop,mel_precision,-0.02054504399232045,0.04616860593657486,-0.13523421909830624,0.09414413111366533,1,0.75,"{""42"": -0.07097269669765105, ""43"": -0.010308836145267397, ""44"": 0.019646400865957092}"
offline_crop,mel_recall,0.011655011655011668,0.014557104891371509,-0.024506841579549493,0.04781686488957283,2,0.5,"{""42"": 0.027972027972027913, ""43"": 0.006993006993007089, ""44"": 0.0}"
offline_crop,mel_f1,-0.015486872166556106,0.03572630820628625,-0.10423594168340707,0.07326219735029486,1,0.75,"{""42"": -0.0547043701799485, ""43"": -0.0069623455154304015, ""44"": 0.015206099195710587}"
offline_crop,mel_auroc,-0.008643364843892535,0.02132443098183003,-0.06161618802747362,0.04432945833968856,1,0.5,"{""42"": -0.025825537698888512, ""43"": -0.01532680160648503, ""44"": 0.015222244773695937}"
offline_crop,mel_auprc,-0.013565250974177231,0.02114611772940494,-0.06609511948290431,0.03896461753454985,1,0.5,"{""42"": 0.010800504829297841, ""43"": -0.027123175464187188, ""44"": -0.024373082287642345}"
