stratum,metric,mean_difference,ci95_low,ci95_high,bootstrap_replicates
strict_id,mcc,0.06608259028846085,0.004681278753519843,0.1254856964085364,5000
aid_radial,mcc,0.016661217925195506,-0.022883635890626912,0.05668584994166694,5000
ood_far,mcc,-0.028241133204652148,-0.06652314512663207,0.00772769892188311,5000
random_remaining,mcc,-0.048759536577394486,-0.08563822989426512,-0.013096549033703645,5000
strict_id,macro_f1,0.026306213120420335,-0.02357954751238704,0.06968768457480058,5000
aid_radial,macro_f1,0.0024843196482440435,-0.04067497332319965,0.0474495412864039,5000
ood_far,macro_f1,-0.02407297924080114,-0.05716582315971945,0.006926927076524897,5000
random_remaining,macro_f1,-0.019437502256623072,-0.062008269504219005,0.01673218461607347,5000
