method,baseline,metric,mean_difference,sd_difference,ci95_low_seed_t,ci95_high_seed_t,wins,exact_sign_flip_p_two_sided,differences_by_seed
Synthetic + DINO,Real Balanced Softmax,auroc_ovr_macro,-0.007139224474209227,0.0031440004179200485,-0.014949354478026432,0.0006709055296079776,0,0.25,"{""42"": -0.003602598932346268, ""43"": -0.00819764397121614, ""44"": -0.009617430519065273}"
Synthetic + DINO,Real Balanced Softmax,auprc_ovr_macro,-0.034406135801289005,0.016375257210102214,-0.07508452977601132,0.006272258173433305,0,0.25,"{""42"": -0.04186396416091154, ""43"": -0.015629476082168137, ""44"": -0.04572496716078733}"
Synthetic + DINO,Real Balanced Softmax,mel_precision,-0.03475533194483001,0.060732682483425,-0.18562367883579511,0.11611301494613507,1,0.5,"{""42"": -0.09302325581395349, ""43"": -0.03941627358490568, ""44"": 0.028173533564369135}"
Synthetic + DINO,Real Balanced Softmax,mel_recall,-0.00932400932400936,0.09390786516775607,-0.24260407861430655,0.2239560599662878,1,1.0,"{""42"": 0.0979020979020978, ""43"": -0.04895104895104896, ""44"": -0.07692307692307693}"
Synthetic + DINO,Real Balanced Softmax,mel_f1,-0.035553997657030066,0.01908341450549716,-0.08295982729851137,0.011851831984451236,0,0.25,"{""42"": -0.04793521845544979, ""43"": -0.045149638802889525, ""44"": -0.013577135712750876}"
Synthetic + DINO,Real Balanced Softmax,mel_auroc,-0.0015786031617166518,0.002820965727229011,-0.00858627050819459,0.005429064184761287,1,0.5,"{""42"": -0.0020419334403503075, ""43"": -0.004139220498059593, ""44"": 0.0014453444532599447}"
Synthetic + DINO,Real Balanced Softmax,mel_auprc,-0.004616956260607559,0.009975769310789535,-0.029398141008954343,0.020164228487739227,1,0.5,"{""42"": -0.011079308855245995, ""43"": -0.009643774426172036, ""44"": 0.006872214499595353}"
Source-matched replay,Real CE oversampling,macro_f1,-0.02952550345935408,0.029229365120494368,-0.10213527164479405,0.0430842647260859,0,0.25,"{""42"": -0.01442475007071986, ""43"": -0.0632164849796677, ""44"": -0.010935275327674687}"
Source-matched replay,Real CE oversampling,balanced_accuracy,-0.020632542061113462,0.015340606358263089,-0.05874072083631944,0.01747563671409252,0,0.25,"{""42"": -0.03082393981926701, ""43"": -0.028084184025438885, ""44"": -0.0029895023386344866}"
Source-matched replay,Real CE oversampling,mcc,-0.03968151201558775,0.06977531825327378,-0.21301301143577833,0.13364998740460282,1,0.75,"{""42"": 0.0016043846177690169, ""43"": -0.12024274712127969, ""44"": -0.0004061735432525637}"
Source-matched replay,Real CE oversampling,ece,0.010693021708333361,0.01627510451686861,-0.029736579184197073,0.051122622600863796,2,0.5,"{""42"": -0.002622903195312609, ""43"": 0.02883547957812499, ""44"": 0.005866488742187703}"
Source-matched replay,Real CE oversampling,worst_class_recall,-0.08449883449883451,0.053688220085568505,-0.217867766688494,0.048870097690824996,0,0.25,"{""42"": -0.1048951048951049, ""43"": -0.125, ""44"": -0.02360139860139865}"
Source-matched replay,Real CE oversampling,auroc_ovr_macro,-0.01100776419191348,0.008696677906160273,-0.032611509745284394,0.010595981361457433,0,0.25,"{""42"": -0.0012481435551267017, ""43"": -0.017935637100415014, ""44"": -0.013839511920198722}"
Source-matched replay,Real CE oversampling,auprc_ovr_macro,-0.02707509779971044,0.029244859888927856,-0.09972335712375043,0.04557316152432954,1,0.5,"{""42"": 0.0021203878898915507, ""43"": -0.05636908307018629, ""44"": -0.02697659821883658}"
Source-matched replay,Real CE oversampling,mel_precision,-0.04623659862944235,0.08460241451385102,-0.2564006470258287,0.163927449766944,1,0.75,"{""42"": -0.025974025974025983, ""43"": -0.13913043478260873, ""44"": 0.02639466486830766}"
Source-matched replay,Real CE oversampling,mel_recall,-0.06060606060606063,0.038514479351651046,-0.15628133121074075,0.03506920999861949,0,0.25,"{""42"": -0.1048951048951049, ""43"": -0.04195804195804198, ""44"": -0.034965034965035}"
Source-matched replay,Real CE oversampling,mel_f1,-0.05268869613499555,0.06093818189294289,-0.20406753185888016,0.09869013958888906,1,0.5,"{""42"": -0.05616112432910969, ""43"": -0.11181641794619973, ""44"": 0.009911453870322773}"
Source-matched replay,Real CE oversampling,mel_auroc,-0.026969512457639122,0.019994020183106333,-0.0766374120033753,0.022698387088097058,0,0.25,"{""42"": -0.004157671703845844, ""43"": -0.0414537089998831, ""44"": -0.03529715666918842}"
Source-matched replay,Real CE oversampling,mel_auprc,-0.0549861894510521,0.041477932143720586,-0.15802308489341274,0.048050705991308534,0,0.25,"{""42"": -0.017510189493604278, ""43"": -0.09955209924282743, ""44"": -0.0478962796167246}"
cRT classifier retraining,Real CE oversampling,macro_f1,-0.03607815989995459,0.03192098538355251,-0.11537428348648579,0.043217963686576606,0,0.25,"{""42"": -0.0624860677395187, ""43"": -0.04514337997719786, ""44"": -0.0006050319831472084}"
cRT classifier retraining,Real CE oversampling,balanced_accuracy,-0.021648182579424285,0.024704616605512087,-0.08301785234274978,0.03972148718390121,1,0.5,"{""42"": -0.043370066367396265, ""43"": -0.026800919374350585, ""44"": 0.005226438003473999}"
cRT classifier retraining,Real CE oversampling,mcc,-0.022655459519790866,0.051878787530404896,-0.15152951206235538,0.10621859302277364,1,0.5,"{""42"": -0.037655456522133424, ""43"": -0.06538153654789203, ""44"": 0.03507061451065285}"
cRT classifier retraining,Real CE oversampling,ece,0.0073605242135416455,0.04615038197104994,-0.10728338005100532,0.12200442847808862,1,1.0,"{""42"": -0.01867283601562511, ""43"": 0.06064575126562502, ""44"": -0.019891342609374973}"
cRT classifier retraining,Real CE oversampling,worst_class_recall,-0.05317599067599069,0.07956026207626982,-0.25081463805394294,0.14446265670196157,1,0.5,"{""42"": -0.06687062937062938, ""43"": 0.03234265734265729, ""44"": -0.125}"
cRT classifier retraining,Real CE oversampling,auroc_ovr_macro,-0.0034204954589961423,0.009254437966414973,-0.02640979381213672,0.019568802894144435,1,0.75,"{""42"": 0.006707961953617003, ""43"": -0.005534235238889962, ""44"": -0.011435213091715468}"
cRT classifier retraining,Real CE oversampling,auprc_ovr_macro,-0.023318587843111954,0.00886526806256824,-0.04534113456184059,-0.001296041124383314,0,0.25,"{""42"": -0.015042603910443542, ""43"": -0.022238913158456164, ""44"": -0.03267424646043615}"
cRT classifier retraining,Real CE oversampling,mel_precision,-0.05614001228846851,0.08508792953798795,-0.26751014686591984,0.15523012228898284,1,0.5,"{""42"": -0.06392045454545453, ""43"": -0.13707050968897572, ""44"": 0.03257092736902473}"
cRT classifier retraining,Real CE oversampling,mel_recall,0.046620046620046596,0.021363989253873384,-0.0064510447582714,0.0996911379983646,3,0.25,"{""42"": 0.0699300699300699, ""43"": 0.027972027972027913, ""44"": 0.04195804195804198}"
cRT classifier retraining,Real CE oversampling,mel_f1,-0.027062075169724937,0.06463327612053425,-0.18762003381272646,0.13349588347327657,1,0.75,"{""42"": -0.026606104704576583, ""43"": -0.09192213023047657, ""44"": 0.03734200942587834}"
cRT classifier retraining,Real CE oversampling,mel_auroc,0.003161306591385767,0.027332383403478516,-0.06473609777237264,0.07105871095514417,1,1.0,"{""42"": 0.034085527489221445, ""43"": -0.017762360770276375, ""44"": -0.006839246944787769}"
cRT classifier retraining,Real CE oversampling,mel_auprc,0.022033096733156936,0.025256660884859023,-0.040707927043033304,0.08477412050934718,2,0.5,"{""42"": 0.04679273602696166, ""43"": -0.003692850276515447, ""44"": 0.022999404449024596}"
