experiment,method,seed,class,support,auroc,auprc
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,akiec,42,0.9672859450726979,0.8002595041624974
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,bcc,65,0.9905792972459639,0.8708175013486318
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,bkl,140,0.9220018796992482,0.7030303562490016
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,df,16,0.9699861550632911,0.6142278464389326
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,mel,143,0.8021907731670266,0.4941790959217759
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,nv,856,0.8837809689649091,0.9134799717867611
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,vasc,18,0.997666842754006,0.9099759581377229
stage8_synthetic_dino_384,Synthetic + DINO,42,akiec,42,0.9648819139933842,0.7595657312181655
stage8_synthetic_dino_384,Synthetic + DINO,42,bcc,65,0.9922886989553656,0.8669229202515877
stage8_synthetic_dino_384,Synthetic + DINO,42,bkl,140,0.9360808270676692,0.6982409105165791
stage8_synthetic_dino_384,Synthetic + DINO,42,df,16,0.9835838607594937,0.7628323854794442
stage8_synthetic_dino_384,Synthetic + DINO,42,mel,143,0.8494996648030949,0.5501709341509681
stage8_synthetic_dino_384,Synthetic + DINO,42,nv,856,0.8831197099277024,0.9215221192207597
stage8_synthetic_dino_384,Synthetic + DINO,42,vasc,18,0.9984152139461173,0.9195711079999007
stage8_synthetic_dino_384,Synthetic + DINO,43,akiec,42,0.9440341564735749,0.8173045449653948
stage8_synthetic_dino_384,Synthetic + DINO,43,bcc,65,0.9904526748971193,0.8709879764255276
stage8_synthetic_dino_384,Synthetic + DINO,43,bkl,140,0.9398496240601505,0.7432712330653722
stage8_synthetic_dino_384,Synthetic + DINO,43,df,16,0.9843255537974684,0.7286823708698709
stage8_synthetic_dino_384,Synthetic + DINO,43,mel,143,0.8356305084537274,0.5054135974771611
stage8_synthetic_dino_384,Synthetic + DINO,43,nv,856,0.8841777243872334,0.923141820909568
stage8_synthetic_dino_384,Synthetic + DINO,43,vasc,18,0.9992516288078888,0.9588405797101451
stage8_synthetic_dino_384,Synthetic + DINO,44,akiec,42,0.971363181783214,0.7682572330238626
stage8_synthetic_dino_384,Synthetic + DINO,44,bcc,65,0.9922127255460589,0.8510187549902627
stage8_synthetic_dino_384,Synthetic + DINO,44,bkl,140,0.9124812030075189,0.7062142957074199
stage8_synthetic_dino_384,Synthetic + DINO,44,df,16,0.9730023734177216,0.6455045723951974
stage8_synthetic_dino_384,Synthetic + DINO,44,mel,143,0.8096696619124059,0.501329619248058
stage8_synthetic_dino_384,Synthetic + DINO,44,nv,856,0.8776808543466761,0.9131800416472278
stage8_synthetic_dino_384,Synthetic + DINO,44,vasc,18,0.9954657510125022,0.9032877556048287
stage9_real_ce_undersample_384,Real CE undersampling,42,akiec,42,0.9482652511731672,0.6740914315861899
stage9_real_ce_undersample_384,Real CE undersampling,42,bcc,65,0.9778157644824312,0.7516450091888675
stage9_real_ce_undersample_384,Real CE undersampling,42,bkl,140,0.876484962406015,0.586082603510035
stage9_real_ce_undersample_384,Real CE undersampling,42,df,16,0.9693928006329113,0.5373190418161297
stage9_real_ce_undersample_384,Real CE undersampling,42,mel,143,0.7433437275125929,0.35788536687682365
stage9_real_ce_undersample_384,Real CE undersampling,42,nv,856,0.8266096147064009,0.8629957064863467
stage9_real_ce_undersample_384,Real CE undersampling,42,vasc,18,0.9979309737629865,0.9042369501111331
stage9_real_ce_undersample_384,Real CE undersampling,43,akiec,42,0.9765174244172627,0.825630770751142
stage9_real_ce_undersample_384,Real CE undersampling,43,bcc,65,0.9910731244064578,0.8608992142504099
stage9_real_ce_undersample_384,Real CE undersampling,43,bkl,140,0.9339974937343358,0.731304977705743
stage9_real_ce_undersample_384,Real CE undersampling,43,df,16,0.9934731012658228,0.7496603772444443
stage9_real_ce_undersample_384,Real CE undersampling,43,mel,143,0.8400957002540116,0.5205878968831102
stage9_real_ce_undersample_384,Real CE undersampling,43,nv,856,0.8901125242461647,0.9194293203482242
stage9_real_ce_undersample_384,Real CE undersampling,43,vasc,18,0.9981070611023067,0.925309800907627
stage9_real_ce_undersample_384,Real CE undersampling,44,akiec,42,0.9379375336564352,0.6133123387475893
stage9_real_ce_undersample_384,Real CE undersampling,44,bcc,65,0.9684583729028173,0.6834568151478387
stage9_real_ce_undersample_384,Real CE undersampling,44,bkl,140,0.8722994987468672,0.5297001126448251
stage9_real_ce_undersample_384,Real CE undersampling,44,df,16,0.9404667721518988,0.46423816429868536
stage9_real_ce_undersample_384,Real CE undersampling,44,mel,143,0.7625145303245566,0.3870971082058052
stage9_real_ce_undersample_384,Real CE undersampling,44,nv,856,0.832891575559866,0.8773305303183572
stage9_real_ce_undersample_384,Real CE undersampling,44,vasc,18,0.9934847684451488,0.8490061582261429
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,akiec,42,0.9520732364028002,0.8173793740845968
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,bcc,65,0.9936688825577714,0.8862151686184482
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,bkl,140,0.9416353383458648,0.7486646880962022
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,df,16,0.9972310126582279,0.8611040868853369
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,mel,143,0.8515415982434452,0.5612502430062141
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,nv,856,0.8974662757891024,0.9325417197835133
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,vasc,18,0.999471737982039,0.9647185774894755
