experiment,method,seed,temperature,calibration_groups,evaluation_groups,ece_before,ece_after_temperature,nll_before,nll_after_temperature,brier_before,brier_after_temperature,macro_f1_evaluation_subset,mel_auroc_evaluation_subset,mel_auprc_evaluation_subset
stage8_real_ce_natural_384,Real CE natural,42,1.8001953079100452,299,300,0.126735209524486,0.037370797670107425,0.7995451348285838,0.6186597460067998,0.34556408307634895,0.31642163362890047,0.7192974021487443,0.8151239992189026,0.5221737058031104
stage8_real_ce_natural_384,Real CE natural,43,3.290957312054996,299,300,0.14962323711776407,0.0586555691954285,1.2749033682594253,0.560779672011217,0.31431782680921083,0.2685709560690851,0.7342166309290563,0.7827084553798086,0.5081649089847025
stage8_real_ce_natural_384,Real CE natural,44,2.7371185136332246,299,300,0.13789237693081763,0.0414068788490065,1.150284364746853,0.5810286611643071,0.2969812219436306,0.26458116065253096,0.6985189239786128,0.7600322202694786,0.5296701885659144
stage8_real_ce_weighted_384,Real CE oversampling,42,3.744487585266009,299,300,0.18472945138544686,0.06522932980153276,1.650917229013927,0.6249925359697296,0.3848459611052161,0.3165814865742442,0.7699084909309649,0.811779925795743,0.5198220127306343
stage8_real_ce_weighted_384,Real CE oversampling,43,2.8003025974355467,299,300,0.13833218647001785,0.037852543264779166,0.9763940513213814,0.5388244642220966,0.3232238512485902,0.2779800128335123,0.7530852326148494,0.866090607303261,0.6087153976813423
stage8_real_ce_weighted_384,Real CE oversampling,44,2.4535253505864567,299,300,0.19300350654460302,0.0838761997285917,1.0702067817293395,0.6295708924634674,0.41892501268321847,0.34929815485739485,0.7252265282613954,0.8297939855496974,0.5682674406332962
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,2.76720435802575,299,300,0.17569098559027185,0.03787006437596843,1.1905986918907645,0.6430287036092601,0.3752743699246529,0.3231561880006138,0.7504719920781343,0.8171011521187269,0.5939997550445318
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,4.0359636465404884,299,300,0.2141990299610882,0.05998053067524538,2.214007835329843,0.7896157094331623,0.4457858892555381,0.372462392226381,0.7110535623139131,0.8238869361452842,0.4428982951574672
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,2.8963615385968797,299,300,0.17286882138510998,0.037481160024216226,1.3949452818004264,0.6819742570896109,0.3764062474332424,0.321517997723258,0.6658700835849319,0.7895674672915446,0.43081009018952293
stage8_synthetic_dino_384,Synthetic + DINO,42,2.3073157938685873,299,300,0.1770255711778772,0.06563759321195288,1.0589941803404834,0.7257343324994605,0.4620783959775171,0.40342369897783,0.7085187629008198,0.8235207967193907,0.5020788701015949
stage8_synthetic_dino_384,Synthetic + DINO,43,2.61638739622917,299,300,0.19792047913289496,0.08160789757407885,1.2447772554967194,0.6914957073435288,0.43980615573856985,0.37300050466010415,0.721622069242559,0.8158318687756297,0.4701623594899396
stage8_synthetic_dino_384,Synthetic + DINO,44,1.9750778636454178,299,300,0.13525185213457314,0.06046034740164383,0.8882089776214414,0.6445506205497569,0.3592562313798453,0.33288630766639715,0.7023492794443633,0.789713923061902,0.5442832756778359
stage9_real_ce_undersample_384,Real CE undersampling,42,1.310283984934677,299,300,0.13408939866593209,0.06322597110679966,1.1114619903088543,1.059195289550297,0.5948381313405544,0.5720281885968904,0.5599329556804843,0.6902948642843195,0.3604947558371704
stage9_real_ce_undersample_384,Real CE undersampling,43,1.9229658248604562,299,300,0.21554374301523177,0.12115535164062405,1.120907643275847,0.916288281307083,0.6112181864599535,0.5366681012988156,0.6400515675473815,0.790543839093927,0.4702879868008292
stage9_real_ce_undersample_384,Real CE undersampling,44,0.9856636333340509,299,300,0.07037471811494163,0.06811392877239901,0.950438219726147,0.9510785278437544,0.481939070560966,0.48183067766577764,0.5708258078201655,0.7433606717438002,0.44490960767894516
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,3.379082874998139,299,300,0.19274106770876953,0.05373957035860744,1.5716165475048443,0.7075470579130445,0.4162328660171767,0.3473727169239047,0.7432456617828898,0.8444883811755517,0.5564899564216127
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,4.090182166568038,299,300,0.19803440778426534,0.049119658787868926,2.005969808845561,0.7369517538895892,0.42051441323941385,0.35170468387312975,0.7347834069043688,0.8347734817418473,0.5295826770465251
