experiment,method,seeds,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,mcc_mean,mcc_sd,ece_mean,ece_sd,worst_class_recall_mean,worst_class_recall_sd,auroc_ovr_macro_mean,auroc_ovr_macro_sd,auprc_ovr_macro_mean,auprc_ovr_macro_sd,mel_precision_mean,mel_precision_sd,mel_recall_mean,mel_recall_sd,mel_f1_mean,mel_f1_sd,mel_auroc_mean,mel_auroc_sd,mel_auprc_mean,mel_auprc_sd
stage8_real_ce_natural_384,Real CE natural,3,0.7355337028884911,0.011331257122728084,0.7203486779254469,0.011072018086661074,0.659802780497638,0.03647636114448337,0.12963667974479168,0.012448753415604183,0.4580419580419581,0.037820467924447446,0.9467702484272073,0.003416924965882028,0.8000492420570113,0.007284376411003065,0.6026772247360483,0.12182162009162745,0.4685314685314685,0.0555052722600963,0.5183188359321762,0.016719002392115226,0.8226962131975325,0.01903889377503387,0.5574657342681874,0.028189039798234904
stage8_real_ce_weighted_384,Real CE oversampling,3,0.7681244743282164,0.02756805002309601,0.7655237860344669,0.029644642220937413,0.6396879680882481,0.03198333921173474,0.15695117467447914,0.019979787446959336,0.6264568764568764,0.0025233840436609547,0.951399409246255,0.003206296870237096,0.8224039164010387,0.004611872638692495,0.4378648628383517,0.06133140370726985,0.6317016317016316,0.0040374144698575145,0.5153947590134808,0.04268369958032209,0.8505206315232701,0.02083191069507436,0.5656678781207104,0.02385245454645084
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,3,0.7377455351848611,0.017293944614549174,0.7437263763532121,0.03624170692870239,0.6294237831017578,0.014206109736521715,0.17162388716406252,0.022528452021422497,0.5208333333333334,0.09547032697824667,0.9410566492969483,0.007028290750358243,0.7887466140720688,0.029575289130011586,0.4332737100657005,0.056599084837011114,0.5874125874125874,0.09714995796818043,0.4920017265449055,0.025569591651020636,0.8242348387467121,0.019864646741650668,0.5189071980474602,0.04829708440954044
stage8_synthetic_dino_384,Synthetic + DINO,3,0.7383886711630825,0.01030631487981883,0.7483389434824682,0.02851367143745132,0.5943776939294322,0.01277626267041344,0.15600726501041662,0.02846928446076299,0.6024059274059274,0.09660771074677266,0.9389270243502899,0.005466620666594778,0.7769171668989191,0.019153137612139815,0.37516175989190464,0.06194055320207171,0.613053613053613,0.10681994626936687,0.4570773539413975,0.012199384297794037,0.8315999450564093,0.02021858955374792,0.5189713836253956,0.027096654485235887
stage9_crt_weighted_384,cRT classifier retraining,3,0.732046314428262,0.00950646467694121,0.7438756034550426,0.006868510898740662,0.6170325085684573,0.021625963386296986,0.1643116988880208,0.02686012576149745,0.5732808857808858,0.0792234092839837,0.9479789137872587,0.0062466054840285565,0.7990853285579269,0.013316055282596018,0.38172485054988314,0.026366611321368076,0.6783216783216783,0.02097902097902099,0.4883326838437558,0.025879847683668977,0.8536819381146558,0.006822342869342575,0.5877009748538674,0.003195300417587838
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,3,0.7512726269504325,0.009685124199525804,0.7571108130854459,0.00400067015606849,0.6267550834908182,0.017571722847769523,0.18443371751822915,0.017229102294397503,0.6022727272727272,0.026325560046111182,0.9460662488244992,0.0028820225314599543,0.8113233027002081,0.011963314577290942,0.40991709183673475,0.024021344559962715,0.6223776223776224,0.057240229173933205,0.4926313515984275,0.00963413772226141,0.8331785482181261,0.022398201964316113,0.5235883398860033,0.03420385755543582
stage9_real_ce_undersample_384,Real CE undersampling,3,0.6086461667879136,0.05162555518214472,0.6799220336603513,0.042923003143268496,0.448947444979767,0.03450743250101588,0.12577611371875003,0.08327143109019425,0.5038940809968847,0.015556841398316356,0.9176796464709742,0.024800605601200957,0.6957723664407366,0.08419323309918467,0.2577774014662008,0.04171874024392493,0.655011655011655,0.13815982762459153,0.3634794883964319,0.02117194947848105,0.7819846526970538,0.051230365080087645,0.4218567906552464,0.08674217521252933
stage9_source_replay_weighted_384,Source-matched replay,3,0.7385989708688624,0.03972825551885507,0.7448912439733535,0.01694318055666525,0.6000064560726605,0.058977950912659005,0.1676441963828125,0.009283272811347599,0.541958041958042,0.05291169912734807,0.9403916450543415,0.007007511225522554,0.7953288186013284,0.032537521241403945,0.39162826420890934,0.03949468277334,0.5710955710955711,0.040975281657918264,0.4627060628784852,0.021060369845889593,0.8235511190656309,0.0028467990902649462,0.5106816886696584,0.019075427494604842
