experiment,method,seed,selection_objective,mel_logit_offset,calibration_objective_value,evaluation_macro_f1,evaluation_mcc,evaluation_ece,evaluation_mel_precision,evaluation_mel_recall,evaluation_mel_f1
stage8_real_ce_natural_384,Real CE natural,42,macro_f1,0.4299999999999997,0.7479588242238037,0.7174368953081974,0.5927783100620562,0.04738553752389236,0.42391304347826086,0.5416666666666666,0.47560975609756095
stage8_real_ce_natural_384,Real CE natural,42,mcc,0.25,0.6526804518448426,0.7224938250617952,0.608229427480501,0.05234042446985094,0.4691358024691358,0.5277777777777778,0.49673202614379086
stage8_real_ce_natural_384,Real CE natural,42,target_f1,0.40000000000000036,0.5714285714285714,0.7202588869640909,0.5995857162028932,0.04482647213818279,0.43820224719101125,0.5416666666666666,0.484472049689441
stage8_real_ce_natural_384,Real CE natural,43,macro_f1,-0.14999999999999947,0.7580665469903668,0.7328735355060818,0.6523388392581798,0.062399806577872044,0.5555555555555556,0.3472222222222222,0.42735042735042733
stage8_real_ce_natural_384,Real CE natural,43,mcc,-0.8300000000000001,0.6960576407776314,0.7309722160638624,0.6633764178826367,0.06302334719962258,0.6470588235294118,0.3055555555555556,0.41509433962264153
stage8_real_ce_natural_384,Real CE natural,43,target_f1,0.41999999999999993,0.6131386861313869,0.7328053092292962,0.6500358181727253,0.04538357670823528,0.5084745762711864,0.4166666666666667,0.4580152671755725
stage8_real_ce_natural_384,Real CE natural,44,macro_f1,0.27000000000000046,0.7892191434408178,0.6988234224555515,0.6538586490690936,0.04347240562117738,0.6744186046511628,0.4027777777777778,0.5043478260869565
stage8_real_ce_natural_384,Real CE natural,44,mcc,0.27000000000000046,0.7236392391869759,0.6988234224555515,0.6538586490690936,0.04347240562117738,0.6744186046511628,0.4027777777777778,0.5043478260869565
stage8_real_ce_natural_384,Real CE natural,44,target_f1,1.2000000000000002,0.5972222222222222,0.6883867832847425,0.6085728454097015,0.04247611039534806,0.44,0.4583333333333333,0.4489795918367347
stage8_real_ce_weighted_384,Real CE oversampling,42,macro_f1,-0.45999999999999996,0.8293725242330771,0.769744994407355,0.6229853249425863,0.05544130918675778,0.4222222222222222,0.5277777777777778,0.4691358024691358
