experiment,method,seed,run,best_epoch,elapsed_seconds,metric_recompute_max_abs_error,macro_f1,balanced_accuracy,mcc,worst_class_recall,mel_precision,mel_recall,mel_f1,ece,auroc_ovr_macro,auprc_ovr_macro,mel_auroc,mel_auprc
stage8_real_ce_natural_384,Real CE natural,42,20260723-101612_42,8,944.5391683578491,1.7748891981139714e-08,0.7225608660132077,0.7331005961847082,0.6193572661989837,0.5,0.475,0.5314685314685315,0.5016501650165016,0.11996779985937506,0.9504058056683918,0.7937416987570192,0.8434968725206192,0.5249983623010375
stage8_real_ce_natural_384,Real CE natural,43,20260723-103200_43,18,1465.1098845005035,7.067989712949974e-08,0.7405448194801224,0.7147670864960585,0.6698449088755782,0.44755244755244755,0.6153846153846154,0.44755244755244755,0.5182186234817815,0.14368285312500004,0.9462800310602005,0.8080220709629674,0.8184585862686127,0.5716933587107036
stage8_real_ce_natural_384,Real CE natural,44,20260723-105629_44,13,1205.1841168403625,3.153440025771559e-08,0.7434954231721431,0.713178351095574,0.690206166418352,0.42657342657342656,0.7176470588235294,0.42657342657342656,0.5350877192982456,0.12525938625,0.9436249085530297,0.7983839564510473,0.8061331808033655,0.5757054817928212
stage8_real_ce_weighted_384,Real CE oversampling,42,20260723-123046_42,50,2611.885374069214,7.323916267898412e-08,0.7962680100895694,0.7950814335493909,0.6561353259808329,0.6293706293706294,0.45454545454545453,0.6293706293706294,0.5278592375366569,0.1640094413515626,0.9483695712442352,0.8274867909735857,0.8274566242903973,0.540745671363446
stage8_real_ce_weighted_384,Real CE oversampling,43,20260723-131421_43,16,1360.5212619304657,9.136490516925555e-08,0.7669349977116363,0.7656970162310616,0.6601007571660996,0.625,0.4891304347826087,0.6293706293706294,0.5504587155963303,0.13440027590624995,0.9510716668890035,0.8212382184779218,0.8679693217951793,0.5882829115587642
stage8_real_ce_weighted_384,Real CE oversampling,44,20260723-133705_44,14,1254.9102036952972,1.5959119747943618e-08,0.7411704151834437,0.7357929083229484,0.602827821117812,0.625,0.3699186991869919,0.6363636363636364,0.46786632390745503,0.17244380676562493,0.9547569896055262,0.818486739751609,0.8561359484842335,0.5679750514399211
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,20260723-150933_42,15,1307.8895916938782,1.9568257764168706e-08,0.7516199613365695,0.7633393012565242,0.6452862735719236,0.5,0.43457943925233644,0.6503496503496503,0.5210084033613445,0.15812292731250008,0.9471254615266659,0.8169861792085963,0.829766100214649,0.5745609602020684
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,20260723-153125_43,37,2453.9380111694336,1.8989713801431662e-08,0.7432463985097885,0.7659349291859306,0.6178732007852437,0.625,0.3760330578512397,0.6363636363636364,0.4727272727272727,0.19763116362500008,0.9426885060831587,0.7912579152868496,0.8407476428584608,0.48798153801853633
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,20260723-161223_44,15,1308.2246992588043,9.440967202456463e-09,0.7183702457082249,0.7019048986171815,0.6251118749481065,0.4375,0.4892086330935252,0.4755244755244755,0.4822695035460993,0.15911757055468737,0.9333559802810204,0.7579957477207605,0.8021907731670266,0.4941790959217759
stage8_synthetic_dino_384,Synthetic + DINO,42,20260723-172124_42,11,1132.3911809921265,3.0724362165557295e-08,0.7392450813308811,0.7707156532089776,0.5815062798580448,0.6857142857142857,0.33554817275747506,0.7062937062937062,0.45495495495495486,0.15958174474999995,0.9439814127789753,0.7826894441196294,0.8494996648030949,0.5501709341509681
stage8_synthetic_dino_384,Synthetic + DINO,43,20260723-174020_43,15,1350.5850851535797,3.904951842437221e-08,0.7482400598270091,0.7580668886076095,0.5945701716184202,0.625,0.3433962264150943,0.6363636363636364,0.446078431372549,0.18252051062500002,0.9396745529824517,0.7925203033461485,0.8356305084537274,0.5054135974771611
stage8_synthetic_dino_384,Synthetic + DINO,44,20260723-180255_44,9,1026.6822137832642,1.6286729048742288e-08,0.7276808723313571,0.7162342886308173,0.6070566303118317,0.4965034965034965,0.44654088050314467,0.4965034965034965,0.4701986754966887,0.12591953965624994,0.9331251072894425,0.7555417532309795,0.8096696619124059,0.501329619248058
stage9_crt_weighted_384,cRT classifier retraining,42,20260724-120731_42,8,358.111079454422,1.2556442635647258e-08,0.7337819423500507,0.7517113671819946,0.6184798694586995,0.5625,0.390625,0.6993006993006993,0.5012531328320803,0.14533660533593748,0.9550775331978522,0.8124441870631421,0.8615421517796188,0.5875384073904076
stage9_crt_weighted_384,cRT classifier retraining,43,20260724-121334_43,26,666.4810969829559,9.36396657436056e-09,0.7217916177344385,0.738896096856711,0.5947192206182076,0.6573426573426573,0.352059925093633,0.6573426573426573,0.45853658536585373,0.19504602717187497,0.9455374316501135,0.7989993053194656,0.8502069610249029,0.5845900612822488
stage9_crt_weighted_384,cRT classifier retraining,44,20260724-122444_44,9,381.8853795528412,2.2625388979014005e-08,0.7405653832002965,0.7410193463264224,0.6378984356284648,0.5,0.4024896265560166,0.6783216783216783,0.5052083333333334,0.15255246415624996,0.9433217765138108,0.7858124932911729,0.8492967015394457,0.5909744558889457
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,20260724-085850_42,19,1517.3736777305603,3.190146211085043e-08,0.7484103982383811,0.7617236198010564,0.6159873614309542,0.6083916083916084,0.42857142857142855,0.6083916083916084,0.5028901734104047,0.1861486077578125,0.9475840117113216,0.8245534082805409,0.8515415982434452,0.5612502430062141
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,20260724-092411_43,39,2564.8114445209503,5.551370127476751e-08,0.7433411900590594,0.7550209099608297,0.617245739188453,0.625,0.3828125,0.6853146853146853,0.4912280701754385,0.2007412463125001,0.9478721969536679,0.8081497794283167,0.839769728951787,0.5150573719033331
