label,candidates,passed,mean_confidence,mean_area_fraction
ak,177,151,0.9059292003933319,0.36454502795631105
bcc,320,271,0.9155913949012756,0.34511619522695186
df,63,62,0.9390476809607612,0.4167786127017569
mel,320,304,0.9455703563988209,0.36049627110609456
scc,136,117,0.9100912283448612,0.38724888867480045
vasc,73,67,0.9421726865311192,0.26216380730507516
