area_quartile,dice_count,dice_mean,dice_std,iou_count,iou_mean,iou_std,gt_area_fraction_count,gt_area_fraction_mean,gt_area_fraction_std
Q1_small,76,0.9157367144488888,0.08480459003497066,76,0.8533606651823282,0.11542995563602829,76,0.07921126661363291,0.030128116617563254
Q2,76,0.9194431129596066,0.08350928480608097,76,0.8590347306562972,0.10833356168965079,76,0.18108806722024312,0.03234588536377726
Q3,75,0.9238337452772871,0.06321364906259809,75,0.8638171798780038,0.0935922659505541,75,0.31926807343208313,0.04419305275242086
Q4_large,76,0.9333812192593306,0.052513550620134034,76,0.8790397314196249,0.08176166527665657,76,0.6136256195080936,0.16460576805899804
