stratum,metric,mean_difference_synthetic_minus_replay,sd_difference,ci95_low_seed_t,ci95_high_seed_t,synthetic_wins,exact_sign_flip_p_two_sided,differences_by_seed
img2img_strength05,macro_f1,-0.024927004489997923,0.004402224829031428,-0.03586273720339855,-0.013991271776597302,0,0.25,"{""42"": -0.02906601286553978, ""43"": -0.02541309038980688, ""44"": -0.020301910214647112}"
img2img_strength05,balanced_accuracy,-0.023147370109986947,0.004693474339192737,-0.03480660671510809,-0.011488133504865808,0,0.25,"{""42"": -0.017735566984565798, ""43"": -0.025602290455427945, ""44"": -0.026104252889967094}"
img2img_strength05,mcc,-0.028807597886866636,0.019444147880531074,-0.07710953890974413,0.019494343136010856,0,0.25,"{""42"": -0.04472601032462076, ""43"": -0.03456072173607527, ""44"": -0.007136061599903876}"
img2img_strength05,ece,0.01632151979947918,0.03320390795488724,-0.066161560128743,0.09880459972770136,2,0.75,"{""42"": -0.008272803960937464, ""43"": 0.0031463646953125146, ""44"": 0.05409099866406249}"
img2img_strength05,worst_class_recall,-0.08333333333333333,0.03608439182435161,-0.17297193186978044,0.006305265203113794,0,0.25,"{""42"": -0.0625, ""43"": -0.125, ""44"": -0.0625}"
img2img_strength05,auroc_ovr_macro,-0.005246328868780663,0.003266908041917164,-0.013361778336527519,0.002869120598966193,0,0.25,"{""42"": -0.005989236308420742, ""43"": -0.0016719460900461725, ""44"": -0.008077804207875072}"
img2img_strength05,auprc_ovr_macro,-0.008296842084266101,0.0058870485882766225,-0.0229210814933106,0.006327397324778397,0,0.25,"{""42"": -0.0016001036544560643, ""43"": -0.010633968557412832, ""44"": -0.01265645404092941}"
img2img_strength05,mel_precision,-0.03748239828945291,0.045186962264066995,-0.14973303532906082,0.07476823875015498,1,0.5,"{""42"": -0.07891564720063604, ""43"": -0.04423076923076924, ""44"": 0.010699221563046535}"
img2img_strength05,mel_recall,0.023310023310023336,0.010681994626936607,-0.003225522379464288,0.04984556899951096,3,0.25,"{""42"": 0.03496503496503489, ""43"": 0.013986013986014068, ""44"": 0.020979020979021046}"
img2img_strength05,mel_f1,-0.0272647880170714,0.03814994379200017,-0.12203450209193442,0.06750492605779163,1,0.5,"{""42"": -0.06079132670168763, ""43"": -0.03524816721965662, ""44"": 0.014245129870130047}"
img2img_strength05,mel_auroc,-0.009096444452644977,0.017916061700219407,-0.05360240896820574,0.035409520062915784,1,0.5,"{""42"": -0.023605242602603993, ""43"": -0.014613354982748183, ""44"": 0.010929264227417246}"
img2img_strength05,mel_auprc,-0.020333071564678857,0.03200326203292638,-0.09983358167969882,0.05916743855034111,1,0.5,"{""42"": 0.013407049220424794, ""43"": -0.024148938462299263, ""44"": -0.050257325452162105}"
